Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
Briggs et al 1952 137,210,0.029,4.07,0.01,6
Briggs et al 1952 138,211,0.03,4.07,0.01,6.4
Briggs et al 1952 139,212,0.025,4.07,0.01,5.4
Briggs et al 1952 140,213,0.031,4.07,0.01,5.1
Briggs et al 1952 141,214,0.026,4.07,0.01,4.5
Briggs et al 1952 142,215,0.015,4.07,0.01,3
Briggs et al 1952 143,216,0.019,4.07,0.01,3.6
Briggs et al 1952 145,217,0.019,4.07,0.01,3.6
Briggs et al 1952 147,218,0.042,4.07,0.01,9
Briggs et al 1952 148,219,0.036,4.07,0.01,8.1
Briggs et al 1952 149,220,0.044,4.07,0.01,8.3
Briggs et al 1952 150,221,0.026,4.07,0.01,6.5
Briggs et al 1952 151,222,0.024,4.07,0.01,4.5
Briggs et al 1952 152,223,0.021,4.07,0.01,3.7
Briggs et al 1952 153,224,0.036,4.07,0.01,6
Briggs et al 1952 1,225,0.03,2.45,0.01,4.5
Briggs et al 1952 16,226,0.019,2.45,0.01,2.2
Briggs et al 1952 31,227,0.038,2.45,0.01,5.7
Briggs et al 1952 32,228,0.031,2.45,0.01,5.1
Briggs et al 1952 34,229,0.021,2.45,0.01,2.9
Briggs et al 1952 35,230,0.029,2.45,0.01,4
Briggs et al 1952 36,231,0.02,2.45,0.01,2.1
Briggs et al 1952 37,232,0.02,2.45,0.01,2.7
Briggs et al 1952 38,233,0.027,2.45,0.01,3.9
Briggs et al 1952 40,234,0.02,2.45,0.01,2.6
Briggs et al 1952 41,235,0.055,2.45,0.01,8
Briggs et al 1952 42,236,0.052,2.45,0.01,8.1
Briggs et al 1952 43,237,0.038,2.45,0.01,4.8
Briggs et al 1952 45,238,0.044,2.45,0.01,6.2
Briggs et al 1952 46,239,0.018,2.45,0.01,2.2
Briggs et al 1952 47,240,0.014,2.45,0.01,1.7
Briggs et al 1952 48,241,0.014,2.45,0.01,1.3
Briggs et al 1952 49,242,0.014,2.45,0.01,1.3
Briggs et al 1952 50,243,0.015,2.45,0.01,1.6
Briggs et al 1952 55,244,0.018,2.45,0.01,2.1
Briggs et al 1952 56,245,0.014,2.45,0.01,1.3
Briggs et al 1952 59,246,0.014,2.45,0.01,1.9
Briggs et al 1952 60,247,0.02,2.45,0.01,2
Briggs et al 1952 61,248,0.009,2.45,0.01,0.9
Briggs et al 1952 2,249,0.038,2.34,0.01,5.9
Briggs et al 1952 3,250,0.036,2.32,0.01,5.1
